ts_start,ts_end,price
2023-09-30 02:00:00,2023-09-30 03:00:00,0.088810
2023-09-30 01:00:00,2023-09-30 02:00:00,0.091340
2023-09-30 00:00:00,2023-09-30 01:00:00,0.056440
2023-09-29 23:00:00,2023-09-30 00:00:00,0.099500
2023-09-29 22:00:00,2023-09-29 23:00:00,0.113400
2023-09-29 21:00:00,2023-09-29 22:00:00,0.137880
2023-09-29 20:00:00,2023-09-29 21:00:00,0.148070
2023-09-29 19:00:00,2023-09-29 20:00:00,0.148050
2023-09-29 18:00:00,2023-09-29 19:00:00,0.136940
2023-09-29 17:00:00,2023-09-29 18:00:00,0.103210
2023-09-29 16:00:00,2023-09-29 17:00:00,0.090700
2023-09-29 15:00:00,2023-09-29 16:00:00,0.077040
2023-09-29 14:00:00,2023-09-29 15:00:00,0.072440
2023-09-29 13:00:00,2023-09-29 14:00:00,0.082050
2023-09-29 12:00:00,2023-09-29 13:00:00,0.087370
2023-09-29 11:00:00,2023-09-29 12:00:00,0.092070
2023-09-29 10:00:00,2023-09-29 11:00:00,0.106950
2023-09-29 09:00:00,2023-09-29 10:00:00,0.130050
2023-09-29 08:00:00,2023-09-29 09:00:00,0.138000
2023-09-29 07:00:00,2023-09-29 08:00:00,0.127690
2023-09-29 06:00:00,2023-09-29 07:00:00,0.099500
2023-09-29 05:00:00,2023-09-29 06:00:00,0.000000
2023-09-29 04:00:00,2023-09-29 05:00:00,0.003900
2023-09-29 03:00:00,2023-09-29 04:00:00,0.000000
2023-09-29 02:00:00,2023-09-29 03:00:00,0.000000
2023-09-29 01:00:00,2023-09-29 02:00:00,0.001500
2023-09-29 00:00:00,2023-09-29 01:00:00,-0.000030
2023-09-28 23:00:00,2023-09-29 00:00:00,0.020030
2023-09-28 22:00:00,2023-09-28 23:00:00,0.080040
2023-09-28 21:00:00,2023-09-28 22:00:00,0.156300
2023-09-28 20:00:00,2023-09-28 21:00:00,0.250070
2023-09-28 19:00:00,2023-09-28 20:00:00,0.179470
2023-09-28 18:00:00,2023-09-28 19:00:00,0.135640
2023-09-28 17:00:00,2023-09-28 18:00:00,0.099890
2023-09-28 16:00:00,2023-09-28 17:00:00,0.092020
2023-09-28 15:00:00,2023-09-28 16:00:00,0.087700
2023-09-28 14:00:00,2023-09-28 15:00:00,0.069880
2023-09-28 13:00:00,2023-09-28 14:00:00,0.066610
2023-09-28 12:00:00,2023-09-28 13:00:00,0.088560
2023-09-28 11:00:00,2023-09-28 12:00:00,0.093360
2023-09-28 10:00:00,2023-09-28 11:00:00,0.110850
2023-09-28 09:00:00,2023-09-28 10:00:00,0.129560
2023-09-28 08:00:00,2023-09-28 09:00:00,0.126250
2023-09-28 07:00:00,2023-09-28 08:00:00,0.114950
2023-09-28 06:00:00,2023-09-28 07:00:00,0.091410
2023-09-28 05:00:00,2023-09-28 06:00:00,0.079570
2023-09-28 04:00:00,2023-09-28 05:00:00,0.072260
2023-09-28 03:00:00,2023-09-28 04:00:00,0.019170
